SAPRC99,1,ARO1,1.000E+0
SAPRC99,2,ALK5,1.000E+0
SAPRC99,3,ARO1,1.000E+0
SAPRC99,4,NROG,1.334E+2
SAPRC99,5,NROG,1.678E+2
SAPRC99,6,ALK5,1.000E+0
SAPRC99,7,ALK1,1.000E+0
SAPRC99,8,ALK5,1.000E+0
SAPRC99,9,ALK4,1.000E+0
SAPRC99,10,ALK5,1.000E+0
SAPRC99,11,ALK5,1.000E+0
SAPRC99,12,ALK5,1.000E+0
SAPRC99,13,ALK4,1.000E+0
SAPRC99,14,ALK5,1.000E+0
SAPRC99,15,NROG,1.169E+2
SAPRC99,16,ALK1,1.000E+0
SAPRC99,17,ALK5,1.000E+0
SAPRC99,18,ALK5,1.000E+0
SAPRC99,19,ALK5,1.000E+0
SAPRC99,20,ALK4,1.000E+0
SAPRC99,66,ALK3,2.247E-3
SAPRC99,66,ALK4,7.103E-2
SAPRC99,66,ALK5,4.286E-1
SAPRC99,592,ALK3,1.000E+0
SAPRC99,605,ALK4,1.000E+0
SAPRC99,2284,ALK3,2.247E-3
SAPRC99,2284,ALK4,7.103E-2
SAPRC99,2284,ALK5,4.286E-1
SAPRC99,2284,OLE1,7.933E-2
SAPRC99,2284,OLE2,3.374E-2
SAPRC99,2284,TRP1,3.920E-2
SAPRC99,2284,ARO1,6.531E-2
SAPRC99,2284,ARO2,7.409E-2
SAPRC99,2284,PROD2,4.273E-2
SAPRC99,2284,CRES,5.059E-3
SAPRC99,2284,MVK,1.172E-3
SAPRC99,2284,RCO_OH,2.249E-2
SAPRC99,2284,NROG,5.988E-2
SAPRC99,671,ALK2,1.000E+0
