1,"(1-methylpropyl)benzene","135-98-8","","45234",0,0,"",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
2,"(2-methylbutyl)cyclohexane","54105-77-0","","99052",0,0,"",154.29238,0,,,,,154.29238,-99,,"Known compounds or mixtures"
3,"(2-methylpropyl)benzene; isobutylbenzene","538-93-2","","45235",0,0,"",134.21816,0,,,,,134.21816,-99,,"Known compounds or mixtures"
4,"1,1,1-trichloroethane","71-55-6","","43814",0,1,"",133.40422,1,,,,,133.40422,-99,,"Known compounds or mixtures"
5,"1,1,2,2-tetrachloroethane","79-34-5","","99277",0,1,"",167.84928,0,,,,,167.84928,-99,,"Known compounds or mixtures"
6,"1,1,2,3-tetramethylcyclohexane","6783-92-2","","99062",0,0,"",140.26580,0,,,,,140.26580,-99,,"Known compounds or mixtures"
7,"1,1,2-trichloroethane","79-00-5","","43820",0,1,"",133.40422,0,,,,,133.40422,-99,,"Known compounds or mixtures"
8,"1,1,2-trimethylcyclohexane","7094-26-0","","91074",0,0,"",126.23922,0,,,,,126.23922,-99,,"Known compounds or mixtures"
9,"1,1,2-trimethylcyclopentane","4259-00-1","","91033",0,0,"",112.21264,0,,,,,112.21264,-99,,"Known compounds or mixtures"
10,"1,1,3,4-tetramethylcyclohexane","24612-75-7","","99043",0,0,"",140.26580,0,,,,,140.26580,-99,,"Known compounds or mixtures"
11,"1,1,3,5-tetramethylcyclohexane","4306-65-4","","99107",0,0,"",140.26580,0,,,,,140.26580,-99,,"Known compounds or mixtures"
12,"1,1,3-trimethylcyclohexane","3073-66-3","","91064",0,0,"",126.23922,0,,,,,126.23922,-99,,"Known compounds or mixtures"
13,"1,1,3-trimethylcyclopentane","4516-69-2","","91030",0,0,"",112.21264,0,,,,,112.21264,-99,,"Known compounds or mixtures"
14,"1,1,4-trimethylcyclohexane","7094-27-1","","91057",0,0,"",126.23922,0,,,,,126.23922,-99,,"Known compounds or mixtures"
15,"1,1-dichloro-1-fluoroethane","1717-00-6","","99230",0,0,"HCFC-141b",116.94962,1,,,,,116.94962,-99,,"Known compounds or mixtures"
16,"1,1-dichloroethane","75-34-3","","43813",0,1,"",98.95916,0,,,,,98.95916,-99,,"Known compounds or mixtures"
17,"1,1-dichloroethene (vinylidene chloride)","75-35-4","","99013",0,1,"",96.94328,0,,,,,96.94328,-99,,"Known compounds or mixtures"
18,"1,1-dimethyl-2-propylcyclohexane","16587-71-6","","99059",0,0,"",154.29238,0,,,,,154.29238,-99,,"Known compounds or mixtures"
19,"1,1-dimethylcyclohexane","590-66-9","","91041",0,0,"",112.21264,0,,,,,112.21264,-99,,"Known compounds or mixtures"
20,"1,1-dimethylcyclopentane","1638-26-2","","99098",0,0,"",98.18606,0,,,,,98.18606,-99,,"Known compounds or mixtures"
66,"1-decene, dimer, hydrogenated","68649-11-6","","99269",0,0,"",137.19212,0,,,,,137.19212,-99,,"Unknown mixture. Mwt of REPUNK mixture used"
592,"N-butane","106-97-8","","43212",1,0,"N_BUTA",58.12220,0,,,,,58.12220,-99,,"Known compounds or mixtures"
605,"N-pentane","109-66-0","","43220",1,0,"N_PENT",72.14878,0,,,,,72.14878,-99,,"Known compounds or mixtures"
2284,"Unidentified","N/A","","99999",0,0,"UNID",137.19212,0,,,,,137.19212,-99,,"Unknown mixture. Mwt of REPUNK mixture used"
671,"Propane","74-98-6","","43204",1,0,"N_PROP",44.09562,0,,,,,44.09562,-99,,"Known compounds or mixtures"
